Year,Month,Channel,Visitors,Inquiries,QualifiedLeads,Bookings,RepeatGuests,CAC_USD,LTV_USD
2024,9,Direct Website,920,141,89,34,7,93.74,2216.09
2024,9,OTA (Booking/Expedia),2250,274,176,91,20,147.4,1677.96
2024,9,Travel Agent,1157,275,185,77,17,109.01,1752.28
2024,9,Social Media,1603,100,69,34,7,59.05,2033.93
2024,9,Referral,1513,382,271,127,33,141.71,1960.41
2024,9,Corporate,1374,188,118,45,9,41.21,1296.26
2024,10,Direct Website,2252,388,244,108,19,177.19,1577.77
2024,10,OTA (Booking/Expedia),1925,232,160,79,16,113.93,1217.24
2024,10,Travel Agent,1845,389,257,127,28,89.57,2977.38
2024,10,Social Media,1626,93,64,28,6,122.61,2004.41
2024,10,Referral,1022,257,144,67,13,62.1,1669.34
2024,10,Corporate,1947,258,152,75,18,104.82,1949.16
2024,11,Direct Website,1137,183,126,48,8,118.16,1186.71
2024,11,OTA (Booking/Expedia),1807,186,120,46,9,61.11,3099.77
2024,11,Travel Agent,1758,394,217,104,24,76.1,1005.8
2024,11,Social Media,1518,104,72,29,7,122.12,2707.08
2024,11,Referral,2112,534,353,147,36,84.69,1888.33
2024,11,Corporate,1744,240,147,58,11,159.64,2010.46
2024,12,Direct Website,1839,296,167,74,17,40.66,2681.28
2024,12,OTA (Booking/Expedia),2006,213,134,53,12,154.99,2952.73
2024,12,Travel Agent,2549,585,373,161,29,111.82,1350.77
2024,12,Social Media,2604,169,103,47,11,145.42,2472.1
2024,12,Referral,1195,297,187,77,19,76.07,2904.24
2024,12,Corporate,1817,247,165,80,18,52.09,817.27
2025,1,Direct Website,2309,439,265,114,22,129.48,1408.72
2025,1,OTA (Booking/Expedia),2709,317,194,81,19,144.47,1791.75
2025,1,Travel Agent,2567,561,343,156,31,79.46,1626.46
2025,1,Social Media,2410,154,107,50,12,99.76,2478.35
2025,1,Referral,1323,338,208,88,20,136.07,2496.3
2025,1,Corporate,1321,225,123,48,9,169.25,1844.91
2025,2,Direct Website,902,148,83,31,6,177.74,2273.52
2025,2,OTA (Booking/Expedia),1633,208,135,69,17,127.84,1853.53
2025,2,Travel Agent,1122,258,177,74,13,121.93,2037.95
2025,2,Social Media,1170,63,35,14,2,57.83,3192.36
2025,2,Referral,2047,547,337,155,35,141.85,964.68
2025,2,Corporate,944,132,91,46,9,174.68,1463.62
2025,3,Direct Website,1770,289,204,93,18,94.03,1055.52
2025,3,OTA (Booking/Expedia),915,103,73,35,9,162.04,2751.55
2025,3,Travel Agent,1719,400,285,130,32,144.83,3106.97
2025,3,Social Media,1534,90,58,22,4,44.8,2320.79
2025,3,Referral,2390,704,414,175,46,109.89,823.34
2025,3,Corporate,2131,295,166,78,19,46.02,3035.35
2025,4,Direct Website,1562,268,188,78,20,134.05,2983.83
2025,4,OTA (Booking/Expedia),1598,174,117,58,11,64.4,1399.27
2025,4,Travel Agent,1789,352,199,101,24,131.2,2273.18
2025,4,Social Media,2022,122,67,29,6,106.39,3164.87
2025,4,Referral,2235,695,440,227,59,75.64,1333.02
2025,4,Corporate,1722,223,152,67,15,107.86,1744.92
2025,5,Direct Website,1898,308,220,105,23,134.94,828.37
2025,5,OTA (Booking/Expedia),1137,139,84,39,7,114.54,1369.13
2025,5,Travel Agent,1554,353,216,97,19,136.6,1693.54
2025,5,Social Media,2166,121,70,27,6,68.14,1039.69
2025,5,Referral,1231,317,197,85,16,174.08,1158.92
2025,5,Corporate,2089,282,179,92,23,109.97,2529.34
2025,6,Direct Website,2981,504,325,149,32,135.13,944.09
2025,6,OTA (Booking/Expedia),3048,363,238,105,22,87.34,2144.84
2025,6,Travel Agent,3321,677,374,148,38,174.65,1277.5
2025,6,Social Media,2496,156,90,44,9,132.61,1969.98
2025,6,Referral,2868,896,550,231,54,56.0,1202.18
2025,6,Corporate,3033,432,283,130,33,45.34,1188.8
2025,7,Direct Website,1689,287,172,71,16,74.33,1867.76
2025,7,OTA (Booking/Expedia),3161,363,235,121,26,61.66,855.44
2025,7,Travel Agent,2848,657,466,222,41,59.2,1047.22
2025,7,Social Media,1307,87,55,21,4,145.92,999.8
2025,7,Referral,1768,443,292,147,30,70.87,1482.02
2025,7,Corporate,2613,348,241,92,22,159.75,1580.48
2025,8,Direct Website,2264,465,298,124,27,175.58,2474.29
2025,8,OTA (Booking/Expedia),1570,193,126,59,13,110.9,2334.87
2025,8,Travel Agent,1878,394,252,124,27,88.04,1423.54
2025,8,Social Media,1864,95,65,32,6,103.03,819.96
2025,8,Referral,3299,1047,660,251,54,77.47,1354.92
2025,8,Corporate,1176,169,104,47,10,58.67,2569.08
