DealID,GroupName,Type,Stage,DealValue_USD,ExpectedGuests,ArrivalDate,SalesRep,DaysInStage,WinProbability,WeightedValue_USD
GRP-1001,Incentive Trip #1,Incentive Trip,Won,60221.0,60,2025-05-05,Daniel K.,19,1.0,60221.0
GRP-1002,Film Shoot #2,Film Shoot,Negotiation,124049.0,157,2025-04-30,Daniel K.,13,0.65,80632.0
GRP-1003,Conference #3,Conference,Qualified,145563.0,336,2025-05-20,Priya S.,33,0.25,36391.0
GRP-1004,Yoga Retreat #4,Yoga Retreat,Qualified,46191.0,293,2024-10-12,Daniel K.,20,0.25,11548.0
GRP-1005,Film Shoot #5,Film Shoot,Lead,104875.0,24,2025-01-28,Maya R.,2,0.1,10488.0
GRP-1006,Birthday Celebration #6,Birthday Celebration,Qualified,101150.0,275,2025-04-09,Lucas M.,23,0.25,25288.0
GRP-1007,Wedding #7,Wedding,Won,210087.0,48,2025-02-14,Lucas M.,32,1.0,210087.0
GRP-1008,Conference #8,Conference,Lead,187516.0,215,2024-10-07,Maya R.,26,0.1,18752.0
GRP-1009,Birthday Celebration #9,Birthday Celebration,Qualified,218880.0,121,2025-05-24,Maya R.,15,0.25,54720.0
GRP-1010,Birthday Celebration #10,Birthday Celebration,Proposal Sent,212049.0,185,2024-12-21,Maya R.,35,0.45,95422.0
GRP-1011,Wedding #11,Wedding,Qualified,145897.0,121,2025-04-03,Maya R.,15,0.25,36474.0
GRP-1012,Wedding #12,Wedding,Qualified,104003.0,27,2024-12-25,Priya S.,9,0.25,26001.0
GRP-1013,Incentive Trip #13,Incentive Trip,Won,16831.0,41,2025-07-25,Lucas M.,11,1.0,16831.0
GRP-1014,Sports Team #14,Sports Team,Won,65988.0,275,2024-11-16,Aisha B.,5,1.0,65988.0
GRP-1015,Corporate Retreat #15,Corporate Retreat,Qualified,46553.0,294,2024-11-24,Daniel K.,16,0.25,11638.0
GRP-1016,Sports Team #16,Sports Team,Lost,176655.0,197,2025-05-13,Daniel K.,26,0.0,0.0
GRP-1017,Sports Team #17,Sports Team,Won,66393.0,40,2025-06-06,Lucas M.,20,1.0,66393.0
GRP-1018,Birthday Celebration #18,Birthday Celebration,Lead,53258.0,198,2025-03-15,Lucas M.,12,0.1,5326.0
GRP-1019,Wedding #19,Wedding,Proposal Sent,107124.0,154,2025-07-05,Priya S.,2,0.45,48206.0
GRP-1020,Incentive Trip #20,Incentive Trip,Won,196001.0,337,2025-04-05,Aisha B.,22,1.0,196001.0
GRP-1021,Wedding #21,Wedding,Negotiation,125486.0,218,2025-01-06,Aisha B.,11,0.65,81566.0
GRP-1022,Film Shoot #22,Film Shoot,Qualified,146385.0,76,2024-11-19,Aisha B.,6,0.25,36596.0
GRP-1023,Corporate Retreat #23,Corporate Retreat,Won,41604.0,36,2025-01-12,Maya R.,14,1.0,41604.0
GRP-1024,Wedding #24,Wedding,Lead,146559.0,218,2025-09-02,Lucas M.,18,0.1,14656.0
GRP-1025,Corporate Retreat #25,Corporate Retreat,Qualified,139220.0,56,2024-10-07,Daniel K.,33,0.25,34805.0
GRP-1026,Wedding #26,Wedding,Proposal Sent,145978.0,204,2025-07-13,Lucas M.,5,0.45,65690.0
GRP-1027,Film Shoot #27,Film Shoot,Proposal Sent,165532.0,175,2024-11-09,Daniel K.,8,0.45,74489.0
GRP-1028,Wedding #28,Wedding,Won,123991.0,117,2025-01-07,Aisha B.,17,1.0,123991.0
GRP-1029,Conference #29,Conference,Negotiation,129419.0,74,2025-08-23,Aisha B.,31,0.65,84122.0
GRP-1030,Incentive Trip #30,Incentive Trip,Lost,49196.0,112,2025-07-09,Lucas M.,23,0.0,0.0
