Date,Service,Revenue,RoomsSold,GuestSatisfaction
2024-09-01,Hotel Rooms,14643.8,46,8.2
2024-09-01,Spa & Wellness,2923.42,,8.5
2024-09-01,Restaurant,6354.64,,9.1
2024-09-01,Tours & Activities,4216.75,,8.3
2024-09-01,Events & Weddings,0.0,,
2024-09-02,Hotel Rooms,8626.52,27,8.9
2024-09-02,Spa & Wellness,1474.7,,8.5
2024-09-02,Restaurant,5840.31,,9.0
2024-09-02,Tours & Activities,1704.45,,9.0
2024-09-02,Events & Weddings,0.0,,
2024-09-03,Hotel Rooms,17023.22,53,9.2
2024-09-03,Spa & Wellness,3303.66,,8.4
2024-09-03,Restaurant,7665.85,,8.7
2024-09-03,Tours & Activities,1226.87,,8.3
2024-09-03,Events & Weddings,0.0,,
2024-09-04,Hotel Rooms,17041.93,53,9.2
2024-09-04,Spa & Wellness,4446.21,,9.6
2024-09-04,Restaurant,4228.49,,9.0
2024-09-04,Tours & Activities,3981.97,,9.1
2024-09-04,Events & Weddings,0.0,,
2024-09-05,Hotel Rooms,15575.38,49,8.3
2024-09-05,Spa & Wellness,2648.65,,8.6
2024-09-05,Restaurant,2453.96,,8.5
2024-09-05,Tours & Activities,1257.75,,8.6
2024-09-05,Events & Weddings,0.0,,
2024-09-06,Hotel Rooms,12736.43,40,8.5
2024-09-06,Spa & Wellness,3394.25,,9.5
2024-09-06,Restaurant,6878.61,,9.1
2024-09-06,Tours & Activities,1793.67,,9.2
2024-09-06,Events & Weddings,0.0,,
2024-09-07,Hotel Rooms,23187.22,72,9.1
2024-09-07,Spa & Wellness,5389.08,,9.2
2024-09-07,Restaurant,8244.12,,9.3
2024-09-07,Tours & Activities,2049.23,,8.2
2024-09-07,Events & Weddings,0.0,,
2024-09-08,Hotel Rooms,8517.05,27,9.5
2024-09-08,Spa & Wellness,6429.22,,8.6
2024-09-08,Restaurant,5873.31,,8.8
2024-09-08,Tours & Activities,4300.41,,8.8
2024-09-08,Events & Weddings,0.0,,
2024-09-09,Hotel Rooms,13527.56,42,8.6
2024-09-09,Spa & Wellness,4728.14,,9.5
2024-09-09,Restaurant,4352.44,,8.5
2024-09-09,Tours & Activities,4610.79,,8.9
2024-09-09,Events & Weddings,0.0,,
2024-09-10,Hotel Rooms,7067.98,22,9.1
2024-09-10,Spa & Wellness,5937.82,,8.8
2024-09-10,Restaurant,2357.35,,8.7
2024-09-10,Tours & Activities,4605.49,,8.9
2024-09-10,Events & Weddings,9052.58,,9.2
2024-09-11,Hotel Rooms,15248.46,48,9.0
2024-09-11,Spa & Wellness,2875.59,,9.1
2024-09-11,Restaurant,2642.62,,8.8
2024-09-11,Tours & Activities,2576.93,,9.5
2024-09-11,Events & Weddings,0.0,,
2024-09-12,Hotel Rooms,12658.38,40,8.5
2024-09-12,Spa & Wellness,6640.62,,9.4
2024-09-12,Restaurant,3752.76,,9.1
2024-09-12,Tours & Activities,3157.55,,8.4
2024-09-12,Events & Weddings,0.0,,
2024-09-13,Hotel Rooms,19628.54,61,8.9
2024-09-13,Spa & Wellness,1561.53,,8.7
2024-09-13,Restaurant,2472.92,,9.5
2024-09-13,Tours & Activities,4916.38,,9.4
2024-09-13,Events & Weddings,0.0,,
2024-09-14,Hotel Rooms,21305.53,67,9.5
2024-09-14,Spa & Wellness,2146.84,,8.9
2024-09-14,Restaurant,2821.52,,9.3
2024-09-14,Tours & Activities,4418.18,,8.4
2024-09-14,Events & Weddings,0.0,,
2024-09-15,Hotel Rooms,9290.31,29,9.4
2024-09-15,Spa & Wellness,3786.89,,8.5
2024-09-15,Restaurant,5183.42,,9.2
2024-09-15,Tours & Activities,1632.3,,8.6
2024-09-15,Events & Weddings,0.0,,
2024-09-16,Hotel Rooms,11764.83,37,8.9
2024-09-16,Spa & Wellness,2025.45,,8.5
2024-09-16,Restaurant,3988.23,,9.0
2024-09-16,Tours & Activities,1740.63,,8.5
2024-09-16,Events & Weddings,0.0,,
2024-09-17,Hotel Rooms,8773.87,27,9.5
2024-09-17,Spa & Wellness,6331.67,,8.3
2024-09-17,Restaurant,3393.75,,9.1
2024-09-17,Tours & Activities,1681.25,,8.4
2024-09-17,Events & Weddings,0.0,,
2024-09-18,Hotel Rooms,12259.2,38,9.3
2024-09-18,Spa & Wellness,6027.71,,8.5
2024-09-18,Restaurant,2555.77,,8.8
2024-09-18,Tours & Activities,2464.18,,8.9
2024-09-18,Events & Weddings,0.0,,
2024-09-19,Hotel Rooms,19573.56,61,8.3
2024-09-19,Spa & Wellness,3667.28,,8.7
2024-09-19,Restaurant,7098.33,,8.5
2024-09-19,Tours & Activities,1591.38,,8.8
2024-09-19,Events & Weddings,0.0,,
2024-09-20,Hotel Rooms,10705.23,33,9.5
2024-09-20,Spa & Wellness,4606.07,,9.4
2024-09-20,Restaurant,6193.74,,8.3
2024-09-20,Tours & Activities,5448.43,,9.4
2024-09-20,Events & Weddings,32416.14,,8.4
2024-09-21,Hotel Rooms,14684.71,46,8.5
2024-09-21,Spa & Wellness,4316.52,,8.3
2024-09-21,Restaurant,4992.7,,9.6
2024-09-21,Tours & Activities,2208.79,,9.3
2024-09-21,Events & Weddings,0.0,,
2024-09-22,Hotel Rooms,19189.64,60,9.6
2024-09-22,Spa & Wellness,4560.13,,9.2
2024-09-22,Restaurant,2899.49,,8.6
2024-09-22,Tours & Activities,4502.97,,9.0
2024-09-22,Events & Weddings,10057.64,,9.0
2024-09-23,Hotel Rooms,12690.76,40,9.4
2024-09-23,Spa & Wellness,2237.83,,9.5
2024-09-23,Restaurant,2455.86,,8.5
2024-09-23,Tours & Activities,3105.43,,9.1
2024-09-23,Events & Weddings,0.0,,
2024-09-24,Hotel Rooms,18231.11,57,8.5
2024-09-24,Spa & Wellness,4786.05,,9.1
2024-09-24,Restaurant,4470.2,,9.0
2024-09-24,Tours & Activities,2835.21,,9.5
2024-09-24,Events & Weddings,14051.09,,8.8
2024-09-25,Hotel Rooms,15105.17,47,8.6
2024-09-25,Spa & Wellness,3163.31,,9.3
2024-09-25,Restaurant,2410.91,,8.8
2024-09-25,Tours & Activities,4614.22,,9.6
2024-09-25,Events & Weddings,0.0,,
2024-09-26,Hotel Rooms,9292.37,29,9.5
2024-09-26,Spa & Wellness,6455.44,,9.4
2024-09-26,Restaurant,4174.99,,8.4
2024-09-26,Tours & Activities,3998.21,,9.2
2024-09-26,Events & Weddings,23187.48,,8.2
2024-09-27,Hotel Rooms,20277.82,63,8.6
2024-09-27,Spa & Wellness,6121.32,,9.5
2024-09-27,Restaurant,3277.67,,8.4
2024-09-27,Tours & Activities,1510.77,,9.0
2024-09-27,Events & Weddings,0.0,,
2024-09-28,Hotel Rooms,18598.99,58,8.5
2024-09-28,Spa & Wellness,5920.78,,8.6
2024-09-28,Restaurant,5760.62,,9.5
2024-09-28,Tours & Activities,4772.42,,8.3
2024-09-28,Events & Weddings,0.0,,
2024-09-29,Hotel Rooms,5550.7,17,9.3
2024-09-29,Spa & Wellness,5034.37,,8.6
2024-09-29,Restaurant,6382.91,,9.0
2024-09-29,Tours & Activities,2479.55,,8.2
2024-09-29,Events & Weddings,28686.43,,9.0
2024-09-30,Hotel Rooms,17434.71,54,9.0
2024-09-30,Spa & Wellness,2183.39,,8.4
2024-09-30,Restaurant,3811.05,,9.5
2024-09-30,Tours & Activities,3857.5,,9.4
2024-09-30,Events & Weddings,0.0,,
2024-10-01,Hotel Rooms,9068.28,28,8.3
2024-10-01,Spa & Wellness,5868.08,,9.4
2024-10-01,Restaurant,4393.88,,9.1
2024-10-01,Tours & Activities,1458.03,,9.5
2024-10-01,Events & Weddings,26636.98,,9.4
2024-10-02,Hotel Rooms,5854.44,18,9.2
2024-10-02,Spa & Wellness,3256.64,,9.5
2024-10-02,Restaurant,6745.28,,9.4
2024-10-02,Tours & Activities,3912.2,,8.6
2024-10-02,Events & Weddings,0.0,,
2024-10-03,Hotel Rooms,17971.98,56,9.4
2024-10-03,Spa & Wellness,2616.79,,9.3
2024-10-03,Restaurant,4714.2,,8.6
2024-10-03,Tours & Activities,3854.59,,8.5
2024-10-03,Events & Weddings,0.0,,
2024-10-04,Hotel Rooms,12029.09,38,9.4
2024-10-04,Spa & Wellness,8209.22,,8.6
2024-10-04,Restaurant,6832.67,,8.8
2024-10-04,Tours & Activities,5368.41,,9.0
2024-10-04,Events & Weddings,0.0,,
2024-10-05,Hotel Rooms,22864.54,71,8.4
2024-10-05,Spa & Wellness,8179.26,,8.6
2024-10-05,Restaurant,3096.22,,8.8
2024-10-05,Tours & Activities,4253.62,,8.6
2024-10-05,Events & Weddings,0.0,,
2024-10-06,Hotel Rooms,11008.29,34,9.0
2024-10-06,Spa & Wellness,2805.03,,9.2
2024-10-06,Restaurant,1990.05,,9.5
2024-10-06,Tours & Activities,2893.81,,9.2
2024-10-06,Events & Weddings,0.0,,
2024-10-07,Hotel Rooms,10708.37,33,8.3
2024-10-07,Spa & Wellness,5192.51,,8.7
2024-10-07,Restaurant,3844.66,,9.4
2024-10-07,Tours & Activities,3571.88,,8.6
2024-10-07,Events & Weddings,0.0,,
2024-10-08,Hotel Rooms,11254.33,35,8.6
2024-10-08,Spa & Wellness,2062.09,,8.8
2024-10-08,Restaurant,7565.76,,9.1
2024-10-08,Tours & Activities,4256.49,,9.1
2024-10-08,Events & Weddings,0.0,,
2024-10-09,Hotel Rooms,5505.8,17,8.6
2024-10-09,Spa & Wellness,3826.25,,9.0
2024-10-09,Restaurant,5868.95,,8.9
2024-10-09,Tours & Activities,2533.68,,8.5
2024-10-09,Events & Weddings,26312.54,,8.4
2024-10-10,Hotel Rooms,6712.58,21,8.9
2024-10-10,Spa & Wellness,5010.05,,8.7
2024-10-10,Restaurant,6841.44,,9.3
2024-10-10,Tours & Activities,3396.26,,8.5
2024-10-10,Events & Weddings,0.0,,
2024-10-11,Hotel Rooms,10621.47,33,8.9
2024-10-11,Spa & Wellness,7403.29,,8.3
2024-10-11,Restaurant,5241.3,,9.1
2024-10-11,Tours & Activities,1896.48,,9.2
2024-10-11,Events & Weddings,0.0,,
2024-10-12,Hotel Rooms,17560.32,55,8.2
2024-10-12,Spa & Wellness,6723.79,,9.3
2024-10-12,Restaurant,3083.49,,8.8
2024-10-12,Tours & Activities,1814.62,,9.5
2024-10-12,Events & Weddings,0.0,,
2024-10-13,Hotel Rooms,9063.54,28,9.4
2024-10-13,Spa & Wellness,3981.17,,9.3
2024-10-13,Restaurant,5945.41,,9.6
2024-10-13,Tours & Activities,3106.99,,9.5
2024-10-13,Events & Weddings,0.0,,
2024-10-14,Hotel Rooms,15785.62,49,8.9
2024-10-14,Spa & Wellness,6162.22,,9.0
2024-10-14,Restaurant,7309.42,,9.2
2024-10-14,Tours & Activities,2655.28,,8.6
2024-10-14,Events & Weddings,0.0,,
2024-10-15,Hotel Rooms,16451.14,51,8.9
2024-10-15,Spa & Wellness,4973.94,,8.6
2024-10-15,Restaurant,2440.25,,8.6
2024-10-15,Tours & Activities,1896.21,,8.6
2024-10-15,Events & Weddings,0.0,,
2024-10-16,Hotel Rooms,8807.04,28,9.2
2024-10-16,Spa & Wellness,5438.42,,8.3
2024-10-16,Restaurant,4401.14,,9.0
2024-10-16,Tours & Activities,2435.0,,8.5
2024-10-16,Events & Weddings,21649.75,,9.2
2024-10-17,Hotel Rooms,17751.27,55,9.3
2024-10-17,Spa & Wellness,3537.62,,8.2
2024-10-17,Restaurant,4069.45,,9.3
2024-10-17,Tours & Activities,4071.9,,9.5
2024-10-17,Events & Weddings,20814.91,,9.0
2024-10-18,Hotel Rooms,10211.37,32,8.5
2024-10-18,Spa & Wellness,4555.89,,8.2
2024-10-18,Restaurant,4692.4,,9.2
2024-10-18,Tours & Activities,2822.73,,8.4
2024-10-18,Events & Weddings,0.0,,
2024-10-19,Hotel Rooms,16989.96,53,8.2
2024-10-19,Spa & Wellness,4268.22,,9.0
2024-10-19,Restaurant,2526.36,,9.1
2024-10-19,Tours & Activities,1637.27,,8.8
2024-10-19,Events & Weddings,0.0,,
2024-10-20,Hotel Rooms,8526.74,27,8.7
2024-10-20,Spa & Wellness,5757.97,,8.7
2024-10-20,Restaurant,6446.94,,9.4
2024-10-20,Tours & Activities,1823.5,,8.3
2024-10-20,Events & Weddings,0.0,,
